selling_type,address,city,region,postal_code,price
['Bank Auction'],['300 W 110th St Apt 11E'],['New York'],['NY'],['10026'],"['$449,000']"
['Pre-foreclosure'],['1st Ave Apt 30G'],['New York'],['NY'],['10016'],"['$765,000']"
['Pre-foreclosure'],['1st Ave Apt 30A'],['New York'],['NY'],['10016'],"['$756,000']"
['Pre-foreclosure'],['E Broadway'],['New York'],['NY'],['10002'],"['$6,750,000']"
['Pre-foreclosure'],['E 74th St'],['New York'],['NY'],['10021'],"['$675,000']"
['Bank Owned'],['Broadway'],['New York'],['NY'],['10019'],"['$929,694']"
['Bank Owned'],['Academy St'],['New York'],['NY'],['10034'],"['$412,000']"
['Pre-foreclosure'],['W 18th St Apt 17B'],['New York'],['NY'],['10011'],"['$1,247,000']"
['Pre-foreclosure'],['Worth St Ste 604'],['New York'],['NY'],['10013'],"['$2,319,000']"
['Pre-foreclosure'],['E 72nd St'],['New York'],['NY'],['10021'],"['$1,330,000']"
['Pre-foreclosure'],['W 57th St Apt 6H'],['New York'],['NY'],['10019'],"['$758,000']"
['Pre-foreclosure'],['E 36th St'],['New York'],['NY'],['10016'],"['$1,000,000']"
['Pre-foreclosure'],['E 2nd St Apt 6'],['New York'],['NY'],['10009'],"['$1,976,000']"
['Pre-foreclosure'],['Park Pl'],['New York'],['NY'],['10007'],"['$50,000,000']"
['Pre-foreclosure'],['E 76th St Apt 17A'],['New York'],['NY'],['10021'],"['$910,000']"
['Pre-foreclosure'],['E 54th St Apt 7F'],['New York'],['NY'],['10022'],"['$1,165,000']"
['Bank Owned'],['E 81st St Apt 4C'],['New York'],['NY'],['10028'],"['$1,000']"
['Bank Owned'],['E 46th St'],['New York'],['NY'],['10017'],"['$960,000']"
['Pre-foreclosure'],['E 65th St Apt 6E'],['New York'],['NY'],['10065'],"['$1,931,000']"
['Pre-foreclosure'],['W 147th St'],['New York'],['NY'],['10031'],"['$2,107,000']"
['Pre-foreclosure'],['W 144th St'],['New York'],['NY'],['10031'],"['$1,632,000']"
['Bank Owned'],['5th Ave Apt 5A'],['New York'],['NY'],['10035'],"['$4,287,500']"
['Bank Owned'],['Broadway Apt 210'],['New York'],['NY'],['10033'],"['$315,908']"
['Bank Owned'],['E 63rd St Apt 20B'],['New York'],['NY'],['10065'],"['$1,831,432']"
['Pre-foreclosure'],['E 90th St Apt 15E'],['New York'],['NY'],['10128'],"['$1,275,000']"
['Pre-foreclosure'],['E 90th St Apt 15D'],['New York'],['NY'],['10128'],"['$1,221,000']"
['Pre-foreclosure'],['E 90th St Apt 15A'],['New York'],['NY'],['10128'],"['$576,000']"
['Pre-foreclosure'],['Malcolm X Blvd'],['New York'],['NY'],['10027'],"['$3,950,000']"
['Pre-foreclosure'],['W 89th St Apt 6E'],['New York'],['NY'],['10024'],"['$969,000']"
['Pre-foreclosure'],['E 48th St'],['New York'],['NY'],['10017'],"['$484,000']"
['Pre-foreclosure'],['E 30th St Apt 11J'],['New York'],['NY'],['10016'],"['$1,183,000']"
['Pre-foreclosure'],['E 57th St'],['New York'],['NY'],['10022'],"['$1,731,000']"
['Pre-foreclosure'],['E 17th St Fl 5'],['New York'],['NY'],['10003'],"['$1,678,000']"
['Pre-foreclosure'],['W 123rd St'],['New York'],['NY'],['10027'],"['$1,891,000']"
['Pre-foreclosure'],['E 86th St'],['New York'],['NY'],['10028'],"['$771,000']"
['Pre-foreclosure'],['E 86th St'],['New York'],['NY'],['10028'],"['$771,000']"
['Pre-foreclosure'],['Frederick Douglass Blvd Apt 2'],['New York'],['NY'],['10027'],"['$1,192,000']"
['Pre-foreclosure'],['E 70th St'],['New York'],['NY'],['10021'],"['$1,117,000']"
['Pre-foreclosure'],['Frederick Douglass Blvd'],['New York'],['NY'],['10026'],"['$1,056,000']"
['Pre-foreclosure'],['Frederick Douglass Blvd'],['New York'],['NY'],['10026'],"['$1,106,000']"
